Shimadzu measurement
Filename
754Labor_aprilis_14_125Mg.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 10:52
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
     21.149980     32.332951      3.681153
     21.199982     31.372422      3.679205
     21.249985     30.434093      3.676903
     21.299986     29.481562      3.674953
     21.349989     28.526017      3.672709
     21.399991     27.570810      3.670629
     21.449993     26.623231      3.668635
     21.499996     25.670311      3.666535
     21.549998     24.707091      3.664218
     21.599999     23.758405      3.662194
     21.650002     22.802046      3.660189
     21.700004     21.852211      3.658079
     21.750007     20.895429      3.655936
     21.800009     19.934226      3.653886
     21.849981     18.978809      3.651674
     21.899982     18.023719      3.649439
     21.949984     17.069531      3.646878
     21.999987     16.112494      3.644208
     22.049989     15.161437      3.641621
     22.099992     14.205998      3.639048
     22.149994     13.253938      3.636245
     22.199995     12.300036      3.633600
     22.249998     11.336543      3.631036
     22.300000     10.372351      3.627936
     22.350002      9.430726      3.625023
     22.400005      8.480722      3.613185
     22.450007      7.538436      3.549551
     22.500009      6.595163      3.382783
     22.549980      5.825565      3.144738
     22.599983      5.236077      2.931291
     22.649985      4.807468      2.839471
     22.699987      4.516326      2.864073
     22.749989      4.334866      2.920700
     22.799991      4.274702      2.985032
     22.849994      4.321265      3.046654
     22.899996      4.443129      3.103212
     22.949998      4.651685      3.154664
     23.000001      4.937653      3.201459
     23.050002      5.300007      3.243940
     23.100004      5.714627      3.282113
     23.150007      6.183612      3.316834
     23.199979      6.700305      3.348327
     23.249981      7.259934      3.376976
     23.299983      7.856985      3.403066
     23.349985      8.495041      3.426791
     23.399987      9.155963      3.448631
     23.449990      9.852112      3.468471
     23.499992     10.576304      3.486448
     23.549994     11.322073      3.503238
     23.599997     12.096415      3.518655
     23.649998     12.883657      3.532530
     23.700000     13.682508      3.545078
     23.750003     14.505846      3.556738
     23.800005     15.335352      3.567292
     23.850008     16.172241      3.576792
     23.899979     17.029202      3.585707
     23.949981     17.895074      3.594159
     23.999983     18.768964      3.602253
     24.049985     19.652512      3.609843
     24.099988     20.534377      3.616674
     24.149990     21.425103      3.623433
     24.199993     22.326245      3.629210
