Shimadzu measurement
Filename
741Labor_aprilis_14_Cu.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:39
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
     16.750001    114.687720      2.192348
     16.800004    113.733435      2.191605
     16.850006    112.770817      2.190570
     16.900039    111.808635      2.189517
     16.950010    110.848674      2.189058
     17.000012    109.890104      2.188278
     17.050014    108.937058      2.187515
     17.100016    107.971893      2.186401
     17.150018    107.019014      2.185459
     17.200021    106.065597      2.184490
     17.249993    105.099487      2.183434
     17.299994    104.142707      2.182790
     17.349996    103.186388      2.181965
     17.399999    102.225603      2.180979
     17.450001    101.274224      2.180519
     17.500003    100.311170      2.179433
     17.550006     99.362023      2.178944
     17.600007     98.403419      2.178199
     17.650010     97.440576      2.177590
     17.700012     96.493450      2.176797
     17.750014     95.532392      2.176388
     17.800017     94.582600      2.176021
     17.850019     93.633181      2.175202
     17.900020     92.681046      2.174831
     17.949992     91.727688      2.173765
     17.999995     90.769566      2.172988
     18.049997     89.821806      2.171984
     18.099999     88.872385      2.170470
     18.150002     87.919638      2.169474
     18.200003     86.963898      2.168272
     18.250005     86.004243      2.167618
     18.300008     85.039843      2.166662
     18.350010     84.089485      2.165436
     18.400013     83.129181      2.164455
     18.450015     82.177015      2.163267
     18.500016     81.223629      2.162197
     18.550019     80.268534      2.160746
     18.600021     79.321667      2.159258
     18.649993     78.369997      2.157857
     18.699995     77.411565      2.156718
     18.749997     76.464746      2.155571
     18.799999     75.495419      2.154783
     18.850001     74.536354      2.153890
     18.900004     73.576759      2.152904
     18.950006     72.624010      2.151772
     19.000008     71.667047      2.150814
     19.050010     70.704461      2.149830
     19.100012     69.745969      2.148579
     19.150015     68.789940      2.147940
     19.200017     67.838571      2.146755
     19.250019     66.887123      2.145567
     19.300022     65.924616      2.144314
     19.349993     64.977183      2.143004
     19.399995     64.024393      2.141641
     19.449997     63.066173      2.140049
     19.500000     62.113441      2.138738
     19.550002     61.157715      2.137191
     19.600004     60.205396      2.135616
     19.650006     59.246990      2.134321
     19.700008     58.289818      2.133278
     19.750011     57.336809      2.131911
     19.800013     56.382054      2.130376
     19.850015     55.423896      2.128933
     19.900018     54.473662      2.127452
     19.950019     53.510417      2.126302
     20.000021     52.556826      2.124656
     20.049993     51.597884      2.123053
     20.099996     50.636568      2.121488
     20.149998     49.682881      2.120019
     20.199999     48.723854      2.118147
     20.250002     47.770396      2.116402
     20.300004     46.809743      2.114709
     20.350006     45.851160      2.113124
     20.400009     44.900543      2.111331
     20.450011     43.939395      2.109962
     20.500013     42.976705      2.108180
     20.550015     42.021170      2.106577
     20.600017     41.059259      2.104768
     20.650020     40.098933      2.102529
     20.699992     39.151631      2.100148
     20.749994     38.197129      2.097822
     20.799995     37.248353      2.095789
     20.849998     36.287643      2.093533
     20.900000     35.333890      2.091624
     20.950002     34.386400      2.089540
     21.000005     33.425626      2.087237
     21.050007     32.465712      2.085226
     21.100008     31.509015      2.083415
     21.150011     30.560095      2.081420
     21.200013     29.604138      2.079196
     21.250016     28.648560      2.076951
     21.300018     27.692102      2.074747
     21.350020     26.738516      2.072581
     21.400022     25.772864      2.070265
     21.449994     24.816496      2.067692
     21.499996     23.865432      2.065255
     21.549998     22.904492      2.062939
     21.600001     21.945650      2.060488
     21.650003     20.988697      2.057978
     21.700004     20.039547      2.055352
     21.750007     19.087045      2.052623
     21.800009     18.133355      2.049739
     21.850012     17.188363      2.047022
     21.900014     16.226174      2.044332
     21.950015     15.269871      2.041728
     22.000018     14.316423      2.038774
     22.050020     13.353949      2.035688
     22.099992     12.399219      2.032667
     22.149994     11.434370      2.029154
     22.199997     10.484828      2.025566
     22.249998      9.535634      2.020688
     22.300000      8.588585      1.997377
     22.350002      7.638582      1.920182
     22.400004      6.707285      1.725767
     22.450006      5.756812      1.377206
     22.500009      5.010030      0.907127
     22.550011      4.422766      0.388412
     22.600013      3.981510     -0.095461
     22.650015      3.682648     -0.454406
     22.700017      3.497902     -0.588307
     22.750020      3.427457     -0.485853
     22.799992      3.458663     -0.299587
     22.849994      3.587457     -0.092824
     22.899995      3.802251      0.109987
     22.949998      4.087730      0.297888
     23.000000      4.436215      0.468952
     23.050002      4.854223      0.623764
     23.100005      5.327478      0.763705
     23.150007      5.849233      0.889957
     23.200008      6.402433      1.004011
     23.250011      6.993698      1.106904
     23.300013      7.635091      1.200179
     23.350016      8.306341      1.284310
     23.400018      9.000799      1.360699
     23.450020      9.727131      1.429449
     23.500022     10.466890      1.491813
     23.549994     11.244370      1.548062
     23.599996     12.031383      1.598503
     23.649998     12.823315      1.644388
     23.700001     13.653853      1.685624
     23.750003     14.479463      1.723346
     23.800004     15.331157      1.757968
     23.850007     16.180080      1.789310
     23.900009     17.053365      1.817580
     23.950012     17.927824      1.843205
     24.000014     18.815547      1.866574
     24.050015     19.695675      1.887910
     24.100018     20.590331      1.907296
     24.150020     21.491959      1.925049
     24.199992     22.404133      1.941636
     24.249994     23.316034      1.956748
     24.299997     24.224636      1.970776
     24.349998     25.142478      1.983585
     24.400000     26.071076      1.995234
     24.450003     27.002641      2.005719
     24.500005     27.934434      2.015827
     24.550007     28.862161      2.025351
     24.600010     29.795994      2.033861
     24.650011     30.737153      2.041826
     24.700014     31.669036      2.048994
     24.750016     32.607220      2.055934
     24.800018     33.548022      2.062485
     24.850021     34.491181      2.068991
     24.899993     35.437682      2.074908
     24.949994     36.389022      2.080538
     24.999996     37.332509      2.085910
     25.049999     38.281747      2.090684
