Shimadzu measurement
Filename
742Labor_aprilis_14_Cu.dat
Identifier
2mN/s meres
Date 2016:4:14
Time 9:41
Indentsize=0 [æm]
 Time [s]         Load [mN]       Displ [æm] 
     14.250015    165.090606      2.213883
     14.299986    164.145717      2.213379
     14.349989    163.209866      2.212681
     14.399990    162.266280      2.211992
     14.449992    161.321837      2.211311
     14.499995    160.374180      2.210270
     14.549997    159.430955      2.209395
     14.600000    158.482565      2.208546
     14.650002    157.537459      2.207843
     14.700003    156.578219      2.207210
     14.750006    155.630063      2.206336
     14.800008    154.680896      2.205732
     14.850010    153.723495      2.205005
     14.900013    152.780046      2.204534
     14.949985    151.830842      2.203622
     14.999986    150.878901      2.202679
     15.049988    149.932431      2.201586
     15.099991    148.979898      2.200603
     15.149993    148.032286      2.199717
     15.199996    147.076894      2.198921
     15.249998    146.119993      2.198326
     15.299999    145.170281      2.197607
     15.350002    144.213609      2.196839
     15.400004    143.253727      2.196086
     15.450006    142.304992      2.195530
     15.500009    141.338824      2.194786
     15.550010    140.384433      2.193933
     15.600012    139.418058      2.193288
     15.650015    138.459207      2.192524
     15.699987    137.502246      2.191653
     15.749989    136.541492      2.190808
     15.799991    135.588311      2.190170
     15.849993    134.632181      2.189351
     15.899995    133.683161      2.188798
     15.949998    132.730164      2.188056
     16.000000    131.778472      2.187265
     16.050002    130.829174      2.186371
     16.100005    129.878979      2.185444
     16.150006    128.921263      2.184610
     16.200008    127.964102      2.183493
     16.250011    127.006220      2.182610
     16.300013    126.055624      2.181632
     16.349985    125.102430      2.180568
     16.399987    124.144457      2.179550
     16.449989    123.188285      2.178817
     16.499991    122.238617      2.178157
     16.549993    121.277103      2.177442
     16.599996    120.320797      2.176492
     16.649998    119.367347      2.175821
     16.700001    118.414635      2.175155
     16.750002    117.469913      2.174618
     16.800004    116.517734      2.173706
     16.850007    115.556400      2.172703
     16.900009    114.601477      2.172105
     16.950011    113.644388      2.171323
     17.000014    112.689623      2.170314
     17.049985    111.727794      2.169101
     17.099987    110.775476      2.167826
     17.149989    109.821343      2.166556
     17.199992    108.875952      2.165291
     17.249994    107.923780      2.164275
     17.299995    106.970999      2.163299
     17.349998    106.015227      2.162360
     17.400000    105.067752      2.161332
     17.450003    104.114314      2.159979
     17.500005    103.156121      2.158884
     17.550007    102.206465      2.157654
     17.600009    101.256559      2.156791
     17.650011    100.299103      2.155526
     17.700013     99.344007      2.154266
     17.749985     98.391036      2.152826
     17.799988     97.441807      2.151409
     17.849990     96.477637      2.150255
     17.899991     95.529315      2.148850
     17.949993     94.570844      2.147830
     17.999995     93.610563      2.147095
     18.049998     92.649262      2.146311
     18.100000     91.692537      2.145423
     18.150002     90.736878      2.144257
     18.200005     89.776687      2.143330
     18.250006     88.823401      2.142435
     18.300008     87.871449      2.141324
     18.350011     86.909710      2.140385
     18.400013     85.950149      2.139174
     18.449985     85.001094      2.138328
